Municipios,Sexo,Periodo,Total
35001 Agaete,Total,2019,5586.0
35002 Agüimes,Total,2019,31619.0
"35020 Aldea de San Nicolás, La",Total,2019,7504.0
35003 Antigua,Total,2019,12461.0
35004 Arrecife,Total,2019,62988.0
35005 Artenara,Total,2019,1069.0
35006 Arucas,Total,2019,38138.0
35007 Betancuria,Total,2019,758.0
35008 Firgas,Total,2019,7455.0
35009 Gáldar,Total,2019,24242.0
35010 Haría,Total,2019,5123.0
35011 Ingenio,Total,2019,31321.0
35012 Mogán,Total,2019,20072.0
35013 Moya,Total,2019,7696.0
"35014 Oliva, La",Total,2019,26580.0
35015 Pájara,Total,2019,21093.0
"35016 Palmas de Gran Canaria, Las",Total,2019,379925.0
35017 Puerto del Rosario,Total,2019,40753.0
35018 San Bartolomé,Total,2019,18816.0
35019 San Bartolomé de Tirajana,Total,2019,53443.0
35021 Santa Brígida,Total,2019,18263.0
35022 Santa Lucía de Tirajana,Total,2019,73328.0
35023 Santa María de Guía de Gran Canaria,Total,2019,13850.0
35024 Teguise,Total,2019,22342.0
35025 Tejeda,Total,2019,1909.0
35026 Telde,Total,2019,102647.0
35027 Teror,Total,2019,12519.0
35028 Tías,Total,2019,20170.0
35029 Tinajo,Total,2019,6279.0
35030 Tuineje,Total,2019,15241.0
35032 Valleseco,Total,2019,3749.0
35031 Valsequillo de Gran Canaria,Total,2019,9340.0
35033 Vega de San Mateo,Total,2019,7556.0
35034 Yaiza,Total,2019,16571.0
38001 Adeje,Total,2019,47869.0
38002 Agulo,Total,2019,1096.0
38003 Alajeró,Total,2019,2017.0
38004 Arafo,Total,2019,5551.0
38005 Arico,Total,2019,7988.0
38006 Arona,Total,2019,81216.0
38007 Barlovento,Total,2019,1876.0
38008 Breña Alta,Total,2019,7204.0
38009 Breña Baja,Total,2019,5690.0
38010 Buenavista del Norte,Total,2019,4778.0
38011 Candelaria,Total,2019,27985.0
38012 Fasnia,Total,2019,2786.0
38013 Frontera,Total,2019,4093.0
38014 Fuencaliente de la Palma,Total,2019,1722.0
38015 Garachico,Total,2019,4871.0
38016 Garafía,Total,2019,1667.0
38017 Granadilla de Abona,Total,2019,50146.0
"38018 Guancha, La",Total,2019,5520.0
38019 Guía de Isora,Total,2019,21368.0
38020 Güímar,Total,2019,20190.0
38021 Hermigua,Total,2019,1832.0
38022 Icod de los Vinos,Total,2019,23254.0
"38024 Llanos de Aridane, Los",Total,2019,20467.0
"38025 Matanza de Acentejo, La",Total,2019,9061.0
"38026 Orotava, La",Total,2019,42029.0
"38027 Paso, El",Total,2019,7622.0
"38901 Pinar de El Hierro, El",Total,2019,1870.0
38028 Puerto de la Cruz,Total,2019,30468.0
38029 Puntagorda,Total,2019,2110.0
38030 Puntallana,Total,2019,2506.0
"38031 Realejos, Los",Total,2019,36402.0
"38032 Rosario, El",Total,2019,17370.0
38033 San Andrés y Sauces,Total,2019,4141.0
38023 San Cristóbal de La Laguna,Total,2019,157503.0
38034 San Juan de la Rambla,Total,2019,4828.0
38035 San Miguel de Abona,Total,2019,20886.0
38036 San Sebastián de la Gomera,Total,2019,9093.0
38037 Santa Cruz de la Palma,Total,2019,15716.0
38038 Santa Cruz de Tenerife,Total,2019,207312.0
38039 Santa Úrsula,Total,2019,14679.0
38040 Santiago del Teide,Total,2019,11111.0
"38041 Sauzal, El",Total,2019,8934.0
"38042 Silos, Los",Total,2019,4693.0
38043 Tacoronte,Total,2019,24134.0
"38044 Tanque, El",Total,2019,2763.0
38045 Tazacorte,Total,2019,4575.0
38046 Tegueste,Total,2019,11294.0
38047 Tijarafe,Total,2019,2532.0
38049 Valle Gran Rey,Total,2019,4564.0
38050 Vallehermoso,Total,2019,2901.0
38048 Valverde,Total,2019,5005.0
"38051 Victoria de Acentejo, La",Total,2019,9185.0
38052 Vilaflor de Chasna,Total,2019,1667.0
38053 Villa de Mazo,Total,2019,4843.0
