Mpres,I,14d,H,UCI,M,Curad,NuevoI,Día
NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,26/02/2020
NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,27/02/2020
NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,01/03/2020
NaN,2,0.17,NaN,0,0,NaN,NaN,02/03/2020
NaN,5,0.43,NaN,0,0,NaN,NaN,03/03/2020
NaN,6,0.52,NaN,0,0,NaN,NaN,04/03/2020
NaN,6,0.52,NaN,0,0,NaN,NaN,05/03/2020
NaN,11,0.96,NaN,0,0,NaN,NaN,08/03/2020
NaN,13,1.13,NaN,1,0,NaN,NaN,09/03/2020
NaN,16,1.39,NaN,1,0,NaN,NaN,10/03/2020
NaN,22,1.83,NaN,2,1,NaN,NaN,11/03/2020
1,30,2.52,NaN,2,1,NaN,NaN,12/03/2020
1,28,NaN,NaN,NaN,1,NaN,NaN,13/03/2020
1,28,NaN,NaN,NaN,1,NaN,NaN,14/03/2020
1,73,6.18,NaN,4,1,NaN,NaN,15/03/2020
1,92,7.83,NaN,4,1,NaN,NaN,16/03/2020
2,112,9.31,NaN,4,1,NaN,NaN,17/03/2020
2,169,14.18,NaN,7,2,NaN,NaN,18/03/2020
3,203,17.14,NaN,10,2,NaN,NaN,19/03/2020
4,246,20.88,60,14,4,NaN,43,20/03/2020
6,331,28.10,79,14,4,NaN,85,21/03/2020
9,400,33.84,87,27,10,18,69,22/03/2020
10,478,40.45,127,35,10,19,78,23/03/2020
16,562,45.55,164,40,13,28,84,24/03/2020
19,660,53.23,205,43,17,39,98,25/03/2020
22,755,63.25,237,46,22,67,95,26/03/2020
26,862,72.56,283,59,26,80,107,27/03/2020
33,958,79.69,345,71,29,82,96,28/03/2020
37,1000,80.65,353,80,37,100,42,29/03/2020
NaN,1069,85.00,399,85,42,111,69,30/03/2020
NaN,1131,88.65,468,95,46,170,62,31/03/2020
NaN,1204,90.04,517,105,58,239,73,01/04/2020
NaN,1257,91.70,587,112,69,375,53,2/04/2020
