Alaior 39.93064 4.139987 114 9257 4643 4614 Mallorca
Alaro 39.70685 2.790548 224.2227 5327 2629 2698 Menorca
Alcudia 39.85231 3.122027 15.67431 19071 9704 9367 Mallorca
Algaida 39.55969 2.892573 193.2809 5050 2632 2418 Mallorca
Andratx 39.5708 2.421365 60.20264 11685 5898 5787 Mallorca
Ariany 39.64943 3.11086 122.6419 872 461 411 Mallorca
Arta 39.69215 3.349073 130.6105 7411 3727 3684 Mallorca
Banyalbufar 39.68718 2.513457 109.7573 605 337 268 Mallorca
Binissalem 39.68446 2.847511 129.6953 7251 3625 3626 Mallorca
Buger 39.75927 2.985579 93.89581 1060 543 517 Mallorca
Bunyola 39.69663 2.699386 216.3141 6026 2996 3030 Mallorca
Calvia 39.56524 2.504216 114.0867 51774 26096 25678 Mallorca
Campanet 39.77475 2.965845 127.2656 2602 1290 1312 Mallorca
Campos 39.42727 3.021843 22.76925 9601 4883 4718 Mallorca
Capdepera 39.70133 3.435561 117.9911 11911 6059 5852 Mallorca
CastellEs 39.8776 4.289603 19.78382 7892 4070 3822 Menorca
CiutadelladeMenorca 40.00232 3.839262 26.66946 29160 14591 14569 Menorca
Consell 39.67012 2.816188 148.8572 3515 1780 1735 Mallorca
Costitx 39.65622 2.949179 135.5031 1078 540 538 Mallorca
Deya 39.74844 2.649177 185.4465 755 393 362 Mallorca
Eivissa 38.90886 1.432378 9.813921 48684 25131 23553 Ibiza
Escorca 39.8211 2.869478 690.5303 280 156 124 Mallorca
Esporles 39.66946 2.57915 187.8363 4808 2372 2436 Mallorca
Estellencs 39.65333 2.481678 151.0275 389 202 187 Mallorca
Felanitx 39.46876 3.148028 116.2949 18270 9489 8781 Mallorca
Ferreries 39.98328 4.010968 74.94495 4669 2388 2281 Menorca
Formentera 38.6964 1.453135 21.56246 9552 5018 4534 Formentera
Fornalutx 39.7826 2.741559 148.4023 758 381 377 Mallorca
Inca 39.71875 2.915544 116.5367 29308 14965 14343 Mallorca
LloretdeVistalegre 39.61689 2.974723 159.5069 1275 659 616 Mallorca
Lloseta 39.71799 2.864577 166.5043 5704 2934 2770 Mallorca
Llubí 39.70045 3.004657 69.92153 2265 1134 1131 Mallorca
Llucmajor 39.48591 2.89485 138.0817 36078 18343 17735 Mallorca
Manacor 39.57434 3.20142 75.37592 40548 20494 20054 Mallorca
MancordelaVall 39.75063 2.873395 205.7321 1199 618 581 Mallorca
Mao 39.88961 4.264211 39.57444 29125 14453 14672 Menorca
MariadelaSalut 39.67049 3.076207 86.95065 2150 1118 1032 Mallorca
Marratxi 39.64213 2.752193 125666 33348 16855 16493 Mallorca
MercadalEs 39.99089 4.093808 58.13219 5292 2747 2545 Menorca
MigjornGranEs 39.94633 4.049105 114.6791 1523 759 764 Menorca
Montuiri 39.57029 2.984617 152.9209 2827 1445 1382 Mallorca
Muro 39.73408 3.053606 62.19497 7144 3658 3486 Mallorca
Palma 39.56951 2.649966 31.92724 401270 197436 203834 Mallorca
Petra 39.6091 3.112162 112.8493 2886 1431 1455 Mallorca
PoblaSa 39.77052 3.016888 24.64385 12766 6578 6188 Mallorca
Pollenca 39.87775 3.017193 49.42315 17260 8720 8540 Mallorca
Porreres 39.51733 3.023831 130.0504 5428 2865 2563 Mallorca
Puigpunyent 39.62405 2.527614 221.9999 1867 942 925 Mallorca
SalinesSes 39.339 3.051014 42.5712 5270 2715 2555 Mallorca
SantAntonidePortmany 38.98012 1.306587 4.347667 21852 11489 10363 Ibiza
SantJoan 39.59594 3.039554 138863 1962 986 976 Mallorca
SantJoandeLabritja 39.07785 1.51227 189.9139 5541 2875 2666 Ibiza
SantJosepdesaTalaia 38.92173 1.293443 201.3573 22171 11595 10576 Ibiza
SantLlorencdesCardassar 39.60896 3.284748 73.45789 8687 4442 4245 Mallorca
SantLluís 39.85266 4.259394 59.16509 6997 3560 3437 Menorca
SantaEugenia 39.62394 2.839166 130224 1663 879 784 Mallorca
SantaEulaliadelRio 38.98257 1.530198 13.57007 31314 16093 15221 Ibiza
SantaMargalida 39.70306 3.103551 80.91718 11537 5962 5575 Mallorca
SantaMariadelCami 39.6468 2.776213 128.8374 5992 3008 2984 Mallorca
Santanyí 39.35489 3.127745 62.64299 12664 6457 6207 Mallorca
Selva 39.75464 2.90122 193.6428 3515 1777 1738 Mallorca
Sencelles 39.64624 2.896189 117951 3105 1593 1512 Mallorca
Sineu 39.64284 3.010996 141.6883 3520 1751 1769 Mallorca
Soller 39.76583 2.714238 42.06099 13942 7049 6893 Mallorca
SonServera 39.62423 3.356735 73.98268 12215 6179 6036 Mallorca
Valldemossa 39.71176 2.622538 415.1554 1995 1024 971 Mallorca
VilafrancadeBonany 39.56957 3.084015 98.93115 2908 1457 1451 Mallorca
