NAMEUNIT pop pop_male pop_female island
Alaior 9257 4643 4614 Mallorca
Alaró 5327 2629 2698 Menorca
Alcudia 19071 9704 9367 Mallorca
Algaida 5050 2632 2418 Mallorca
Andratx 11685 5898 5787 Mallorca
Ariany 872 461 411 Mallorca
Arta 7411 3727 3684 Mallorca
Banyalbufar 605 337 268 Mallorca
Binissalem 7251 3625 3626 Mallorca
Buger 1060 543 517 Mallorca
Bunyola 6026 2996 3030 Mallorca
Calvia 51774 26096 25678 Mallorca
Campanet 2602 1290 1312 Mallorca
Campos 9601 4883 4718 Mallorca
Capdepera 11911 6059 5852 Mallorca
CastellEs 7892 4070 3822 Menorca
CiutadelladeMenorca 29160 14591 14569 Menorca
Consell 3515 1780 1735 Mallorca
Costitx 1078 540 538 Mallorca
Deya 755 393 362 Mallorca
Eivissa 48684 25131 23553 Ibiza
Escorca 280 156 124 Mallorca
Esporles 4808 2372 2436 Mallorca
Estellencs 389 202 187 Mallorca
Felanitx 18270 9489 8781 Mallorca
Ferreries 4669 2388 2281 Menorca
Formentera 9552 5018 4534 Formentera
Fornalutx 758 381 377 Mallorca
Inca 29308 14965 14343 Mallorca
LloretdeVistalegre 1275 659 616 Mallorca
Lloseta 5704 2934 2770 Mallorca
Llubí 2265 1134 1131 Mallorca
Llucmajor 36078 18343 17735 Mallorca
Manacor 40548 20494 20054 Mallorca
MancordelaVall 1199 618 581 Mallorca
Mao 29125 14453 14672 Menorca
MariadelaSalut 2150 1118 1032 Mallorca
Marratxi 33348 16855 16493 Mallorca
MercadalEs 5292 2747 2545 Menorca
MigjornGranEs 1523 759 764 Menorca
Montuiri 2827 1445 1382 Mallorca
Muro 7144 3658 3486 Mallorca
Palma 401270 197436 203834 Mallorca
Petra 2886 1431 1455 Mallorca
PoblaSa 12766 6578 6188 Mallorca
Pollença 17260 8720 8540 Mallorca
Porreres 5428 2865 2563 Mallorca
Puigpunyent 1867 942 925 Mallorca
SalinesSes 5270 2715 2555 Mallorca
SantAntonidePortmany 21852 11489 10363 Ibiza
SantJoan 1962 986 976 Mallorca
SantJoandeLabritja 5541 2875 2666 Ibiza
SantJosepdesaTalaia 22171 11595 10576 Ibiza
SantLlorencdesCardassar 8687 4442 4245 Mallorca
SantLluís 6997 3560 3437 Menorca
SantaEugenia 1663 879 784 Mallorca
SantaEulaliadelRio 31314 16093 15221 Ibiza
SantaMargalida 11537 5962 5575 Mallorca
SantaMariadelCami 5992 3008 2984 Mallorca
Santanyi 12664 6457 6207 Mallorca
Selva 3515 1777 1738 Mallorca
Sencelles 3105 1593 1512 Mallorca
Sineu 3520 1751 1769 Mallorca
Soller 13942 7049 6893 Mallorca
SonServera 12215 6179 6036 Mallorca
Valldemossa 1995 1024 971 Mallorca
VilafrancadeBonany 2908 1457 1451 Mallorca
