 NAMEUNIT pop pop_male pop_female island CODIGOINE
0 Alaior 9257 4643 4614 Mallorca 07002
1 Alaró 5327 2629 2698 Menorca 07001
2 Alcudia 19071 9704 9367 Mallorca 07003
3 Algaida 5050 2632 2418 Mallorca 07004
4 Andratx 11685 5898 5787 Mallorca 07005
5 Ariany 872 461 411 Mallorca 07901
6 Arta 7411 3727 3684 Mallorca 07006
7 Banyalbufar 605 337 268 Mallorca 07007
8 Binissalem 7251 3625 3626 Mallorca 07008
9 Buger 1060 543 517 Mallorca 07009
10 Bunyola 6026 2996 3030 Mallorca 07010
11 Calvia 51774 26096 25678 Mallorca 07011
12 Campanet 2602 1290 1312 Mallorca 07012
13 Campos 9601 4883 4718 Mallorca 07013
14 Capdepera 11911 6059 5852 Mallorca 07014
15 CastellEs 7892 4070 3822 Menorca 07064
16 CiutadelladeMenorca 29160 14591 14569 Menorca 07015
17 Consell 3515 1780 1735 Mallorca 07016
18 Costitx 1078 540 538 Mallorca 07017
19 Deya 755 393 362 Mallorca 07018
20 Eivissa 48684 25131 23553 Ibiza 07026
21 Escorca 280 156 124 Mallorca 07019
22 Esporles 4808 2372 2436 Mallorca 07020
23 Estellencs 389 202 187 Mallorca 07021
24 Felanitx 18270 9489 8781 Mallorca 07022
25 Ferreries 4669 2388 2281 Menorca 07023
26 Formentera 9552 5018 4534 Formentera 07024
27 Fornalutx 758 381 377 Mallorca 07025
28 Inca 29308 14965 14343 Mallorca 07027
29 LloretdeVistalegre 1275 659 616 Mallorca 07028
30 Lloseta 5704 2934 2770 Mallorca 07029
31 Llubí 2265 1134 1131 Mallorca 07030
32 Llucmajor 36078 18343 17735 Mallorca 07031
33 Manacor 40548 20494 20054 Mallorca 07033
34 MancordelaVall 1199 618 581 Mallorca 07034
35 Mao 29125 14453 14672 Menorca 07032
36 MariadelaSalut 2150 1118 1032 Mallorca 07035
37 Marratxi 33348 16855 16493 Mallorca 07036
38 MercadalEs 5292 2747 2545 Menorca 07037
39 MigjornGranEs 1523 759 764 Menorca 07902
40 Montuiri 2827 1445 1382 Mallorca 07038
41 Muro 7144 3658 3486 Mallorca 07039
42 Palma 401270 197436 203834 Mallorca 07040
43 Petra 2886 1431 1455 Mallorca 07041
44 PoblaSa 12766 6578 6188 Mallorca 07044
45 Pollença 17260 8720 8540 Mallorca 07042
46 Porreres 5428 2865 2563 Mallorca 07043
47 Puigpunyent 1867 942 925 Mallorca 07045
48 SalinesSes 5270 2715 2555 Mallorca 07059
49 SantAntonidePortmany 21852 11489 10363 Ibiza 07046
50 SantJoan 1962 986 976 Mallorca 07049
51 SantJoandeLabritja 5541 2875 2666 Ibiza 07050
52 SantJosepdesaTalaia 22171 11595 10576 Ibiza 07048
53 SantLlorencdesCardassar 8687 4442 4245 Mallorca 07051
54 SantLluís 6997 3560 3437 Menorca 07052
55 SantaEugenia 1663 879 784 Mallorca 07053
56 SantaEulaliadelRio 31314 16093 15221 Ibiza 07054
57 SantaMargalida 11537 5962 5575 Mallorca 07055
58 SantaMariadelCami 5992 3008 2984 Mallorca 07056
59 Santanyi 12664 6457 6207 Mallorca 07057
60 Selva 3515 1777 1738 Mallorca 07058
61 Sencelles 3105 1593 1512 Mallorca 07047
62 Sineu 3520 1751 1769 Mallorca 07060
63 Soller 13942 7049 6893 Mallorca 07061
64 SonServera 12215 6179 6036 Mallorca 07062
65 Valldemossa 1995 1024 971 Mallorca 07063
66 VilafrancadeBonany 2908 1457 1451 Mallorca 07065
