NightLoc,DayLoc,People
0,35,560
0,0,8697
1,42,1080
1,1,4247
2,28,175
2,42,400
2,2,18496
3,32,145
3,42,775
3,3,4130
4,11,800
4,42,730
4,4,10155
5,33,50
5,42,15
5,5,807
6,33,230
6,42,85
6,6,7096
7,7,605
8,28,330
8,37,125
8,42,810
8,8,5986
9,28,40
9,42,45
9,9,975
10,11,100
10,32,70
10,37,45
10,42,1115
10,10,4696
11,32,200
11,42,4545
11,11,47029
12,28,90
12,42,175
12,12,2337
13,32,180
13,33,105
13,42,720
13,13,8596
14,33,90
14,14,11821
15,35,1205
15,15,6687
16,35,500
16,16,28660
17,11,45
17,37,70
17,42,705
17,17,2695
18,28,25
18,42,75
18,18,978
19,19,755
20,49,635
20,52,1750
20,56,1275
20,20,45024
21,21,280
22,11,85
22,37,70
22,42,1210
22,22,3443
23,23,389
24,33,630
24,42,375
24,24,17265
25,16,145
25,35,120
25,25,4404
26,26,9552
27,42,60
27,27,698
28,33,210
28,37,195
28,42,2075
28,28,26828
29,28,15
29,42,145
29,29,1115
30,28,320
30,42,485
30,30,4899
31,28,120
31,42,130
31,31,2015
32,11,270
32,37,205
32,42,6625
32,32,28978
33,42,885
33,33,39663
34,28,115
34,42,120
34,34,964
35,16,80
35,35,29045
36,33,40
36,42,165
36,36,1945
37,11,310
37,28,155
37,32,90
37,33,70
37,42,8920
37,37,23803
38,35,150
38,38,5142
39,16,20
39,35,40
39,39,1463
40,33,85
40,42,235
40,40,2507
41,28,75
41,42,200
41,41,6869
42,11,4775
42,20,85
42,28,1050
42,32,2710
42,33,605
42,37,3910
42,42,388135
43,33,175
43,42,55
43,43,2656
44,28,235
44,42,295
44,44,12236
45,42,260
45,45,17000
46,33,125
46,42,395
46,46,4908
47,42,355
47,47,1512
48,42,170
48,48,5100
49,20,1665
49,52,855
49,56,150
49,49,19182
50,33,120
50,42,180
50,50,1662
51,20,355
51,56,245
51,51,4941
52,20,3080
52,49,605
52,56,330
52,52,18156
53,33,435
53,42,70
53,53,8182
54,35,1085
54,54,5912
55,42,235
55,55,1428
56,20,3160
56,49,175
56,52,215
56,56,27764
57,42,240
57,57,11297
58,11,40
58,28,95
58,37,90
58,42,865
58,58,4902
59,42,155
59,59,12509
60,28,380
60,42,345
60,60,2790
61,28,210
61,37,100
61,42,255
61,61,2540
62,28,95
62,33,40
62,42,285
62,62,3100
63,42,965
63,63,12977
64,33,385
64,42,195
64,64,11635
65,42,300
65,65,1695
66,33,230
66,42,75
66,66,2603
