NightLoc,DayLoc,People
0,35,168
0,0,9089
1,42,324
1,1,5003
2,28,53
2,42,120
2,2,18898
3,32,44
3,42,233
3,3,4773
4,11,240
4,42,219
4,4,11226
5,33,15
5,42,5
5,5,852
6,33,69
6,42,26
6,6,7316
7,7,605
8,28,99
8,37,38
8,42,243
8,8,6871
9,28,12
9,42,14
9,9,1034
10,11,30
10,32,21
10,37,14
10,42,335
10,10,5626
11,32,60
11,42,1364
11,11,50350
12,28,27
12,42,53
12,12,2522
13,32,54
13,33,32
13,42,216
13,13,9299
14,33,27
14,14,11884
15,35,362
15,15,7530
16,35,150
16,16,29010
17,11,14
17,37,21
17,42,212
17,17,3268
18,28,8
18,42,23
18,18,1047
19,19,755
20,49,191
20,52,525
20,56,383
20,20,47585
21,21,280
22,11,26
22,37,21
22,42,363
22,22,4398
23,23,389
24,33,189
24,42,113
24,24,17968
25,16,44
25,35,36
25,25,4589
26,26,9552
27,42,18
27,27,740
28,33,63
28,37,59
28,42,623
28,28,28563
29,28,5
29,42,44
29,29,1226
30,28,96
30,42,146
30,30,5462
31,28,36
31,42,39
31,31,2190
32,11,81
32,37,62
32,42,1988
32,32,33947
33,42,266
33,33,40282
34,28,35
34,42,36
34,34,1128
35,16,24
35,35,29101
36,33,12
36,42,50
36,36,2088
37,11,93
37,28,47
37,32,27
37,33,21
37,42,2676
37,37,30484
38,35,45
38,38,5247
39,16,6
39,35,12
39,39,1505
40,33,26
40,42,71
40,40,2730
41,28,23
41,42,60
41,41,7061
42,11,1433
42,20,26
42,28,315
42,32,813
42,33,182
42,37,1173
42,42,397328
43,33,53
43,42,17
43,43,2816
44,28,71
44,42,89
44,44,12606
45,42,78
45,45,17182
46,33,38
46,42,119
46,46,5271
47,42,107
47,47,1760
48,42,51
48,48,5219
49,20,500
49,52,257
49,56,45
49,49,21050
50,33,36
50,42,54
50,50,1872
51,20,107
51,56,74
51,51,5360
52,20,924
52,49,182
52,56,99
52,52,20966
53,33,131
53,42,21
53,53,8535
54,35,326
54,54,6671
55,42,71
55,55,1592
56,20,948
56,49,53
56,52,65
56,56,30248
57,42,72
57,57,11465
58,11,12
58,28,29
58,37,27
58,42,260
58,58,5664
59,42,47
59,59,12617
60,28,114
60,42,104
60,60,3297
61,28,63
61,37,30
61,42,77
61,61,2935
62,28,29
62,33,12
62,42,86
62,62,3393
63,42,290
63,63,13652
64,33,116
64,42,59
64,64,12040
65,42,90
65,65,1905
66,33,69
66,42,23
66,66,2816
