NightLoc,DayLoc,People
07002,07032,168
07002,07002,9089
07001,07040,324
07001,07001,5003
07003,07027,53
07003,07040,120
07003,07003,18898
07004,07031,44
07004,07040,233
07004,07004,4773
07005,07011,240
07005,07040,219
07005,07005,11226
07901,07033,15
07901,07040,5
07901,07901,852
07006,07033,69
07006,07040,26
07006,07006,7316
07007,07007,605
07008,07027,99
07008,07036,38
07008,07040,243
07008,07008,6871
07009,07027,12
07009,07040,14
07009,07009,1034
07010,07011,30
07010,07031,21
07010,07036,14
07010,07040,335
07010,07010,5626
07011,07031,60
07011,07040,1364
07011,07011,50350
07012,07027,27
07012,07040,53
07012,07012,2522
07013,07031,54
07013,07033,32
07013,07040,216
07013,07013,9299
07014,07033,27
07014,07014,11884
07064,07032,362
07064,07064,7530
07015,07032,150
07015,07015,29010
07016,07011,14
07016,07036,21
07016,07040,212
07016,07016,3268
07017,07027,8
07017,07040,23
07017,07017,1047
07018,07018,755
07026,07046,191
07026,07048,525
07026,07054,383
07026,07026,47585
07019,07019,280
07020,07011,26
07020,07036,21
07020,07040,363
07020,07020,4398
07021,07021,389
07022,07033,189
07022,07040,113
07022,07022,17968
07023,07015,44
07023,07032,36
07023,07023,4589
07024,07024,9552
07025,07040,18
07025,07025,740
07027,07033,63
07027,07036,59
07027,07040,623
07027,07027,28563
07028,07027,5
07028,07040,44
07028,07028,1226
07029,07027,96
07029,07040,146
07029,07029,5462
07030,07027,36
07030,07040,39
07030,07030,2190
07031,07011,81
07031,07036,62
07031,07040,1988
07031,07031,33947
07033,07040,266
07033,07033,40282
07034,07027,35
07034,07040,36
07034,07034,1128
07032,07015,24
07032,07032,29101
07035,07033,12
07035,07040,50
07035,07035,2088
07036,07011,93
07036,07027,47
07036,07031,27
07036,07033,21
07036,07040,2676
07036,07036,30484
07037,07032,45
07037,07037,5247
07902,07015,6
07902,07032,12
07902,07902,1505
07038,07033,26
07038,07040,71
07038,07038,2730
07039,07027,23
07039,07040,60
07039,07039,7061
07040,07011,1433
07040,07026,26
07040,07027,315
07040,07031,813
07040,07033,182
07040,07036,1173
07040,07040,397328
07041,07033,53
07041,07040,17
07041,07041,2816
07044,07027,71
07044,07040,89
07044,07044,12606
07042,07040,78
07042,07042,17182
07043,07033,38
07043,07040,119
07043,07043,5271
07045,07040,107
07045,07045,1760
07059,07040,51
07059,07059,5219
07046,07026,500
07046,07048,257
07046,07054,45
07046,07046,21050
07049,07033,36
07049,07040,54
07049,07049,1872
07050,07026,107
07050,07054,74
07050,07050,5360
07048,07026,924
07048,07046,182
07048,07054,99
07048,07048,20966
07051,07033,131
07051,07040,21
07051,07051,8535
07052,07032,326
07052,07052,6671
07053,07040,71
07053,07053,1592
07054,07026,948
07054,07046,53
07054,07048,65
07054,07054,30248
07055,07040,72
07055,07055,11465
07056,07011,12
07056,07027,29
07056,07036,27
07056,07040,260
07056,07056,5664
07057,07040,47
07057,07057,12617
07058,07027,114
07058,07040,104
07058,07058,3297
07047,07027,63
07047,07036,30
07047,07040,77
07047,07047,2935
07060,07027,29
07060,07033,12
07060,07040,86
07060,07060,3393
07061,07040,290
07061,07061,13652
07062,07033,116
07062,07040,59
07062,07062,12040
07063,07040,90
07063,07063,1905
07065,07033,69
07065,07040,23
07065,07065,2816
