NightLoc,DayLoc,People
35001,35006,23
35001,35009,110
35001,35016,188
35001,35001,5265
35002,35004,10
35002,35006,8
35002,38017,8
35002,35011,250
35002,35012,278
35002,35016,650
35002,35019,1025
35002,35022,468
35002,35026,298
35002,35002,28624
35020,35012,65
35020,35016,30
35020,35020,7409
35003,35017,533
35003,35003,11928
35004,35014,5
35004,38026,10
35004,35016,165
35004,35019,10
35004,38023,8
35004,35024,1013
35004,35004,61777
35005,35016,68
35005,35005,1001
35006,35002,28
35006,35009,68
35006,35011,28
35006,35012,8
35006,35014,18
35006,35016,2995
35006,35017,8
35006,35019,25
35006,38038,5
35006,35022,35
35006,35026,275
35006,35006,34645
35007,35007,758
35008,35002,15
35008,35004,5
35008,35006,243
35008,35009,10
35008,35011,5
35008,35014,5
35008,35016,483
35008,35019,3
35008,35022,3
35008,35026,73
35008,35008,6610
35009,35006,130
35009,35011,30
35009,35012,8
35009,35016,995
35009,38023,15
35009,35022,10
35009,35026,78
35009,35009,22976
35010,35004,238
35010,35024,50
35010,35010,4835
35011,38001,10
35011,35002,528
35011,35004,8
35011,35009,5
35011,35012,185
35011,35016,830
35011,35017,8
35011,35019,813
35011,38023,8
35011,35022,273
35011,35026,440
35011,35011,28213
35012,35016,153
35012,35019,258
35012,35012,19661
35013,35006,43
35013,35016,480
35013,35026,35
35013,35013,7138
35014,35017,438
35014,35014,26142
35015,35015,21093
35016,38001,50
35016,35002,660
35016,38006,8
35016,35004,38
35016,35006,700
35016,35009,200
35016,38017,15
35016,35011,400
35016,38024,5
35016,35012,308
35016,35014,10
35016,35017,58
35016,38031,15
35016,35019,1050
35016,38023,108
35016,38038,158
35016,35022,550
35016,35024,15
35016,35026,3830
35016,35016,371747
35017,35004,8
35017,35011,15
35017,35014,485
35017,35016,63
35017,38038,18
35017,35017,40164
35018,35004,835
35018,35016,10
35018,35024,328
35018,35018,17643
35019,35002,175
35019,35006,43
35019,35011,53
35019,35012,1008
35019,35014,5
35019,35016,510
35019,35017,8
35019,35022,308
35019,35026,130
35019,35019,51203
35021,35002,33
35021,35006,58
35021,35009,8
35021,35011,43
35021,35012,18
35021,35014,18
35021,35016,1533
35021,35019,60
35021,35022,25
35021,35026,240
35021,35021,16227
35022,35002,590
35022,35006,8
35022,35011,160
35022,35012,820
35022,35014,8
35022,35016,920
35022,38028,5
35022,35017,8
35022,35019,3585
35022,35026,635
35022,35022,66589
35023,35006,135
35023,35009,293
35023,35011,8
35023,35016,658
35023,35017,8
35023,35019,15
35023,35022,5
35023,35026,48
35023,35023,12680
35024,35004,1478
35024,35016,10
35024,38023,13
35024,35024,20841
35025,35016,50
35025,35025,1859
35026,35002,555
35026,38006,23
35026,35004,45
35026,35006,85
35026,35009,8
35026,35011,225
35026,35012,175
35026,35016,4733
