time average_recover sd_R av_Infected sd_I
15 1.0000000000000000 0.0000000000000000 19.699999999999999 7.3763134423640127 
16 1.0000000000000000 0.0000000000000000 27.000000000000000 11.081516141756053 
17 1.0000000000000000 0.0000000000000000 34.799999999999997 13.075167302944932 
18 1.0000000000000000 0.0000000000000000 46.399999999999999 17.442476888332109 
19 1.6000000000000001 0.66332495807107961 59.200000000000003 22.569005294872870 
20 2.1000000000000001 0.94339811320566025 76.000000000000000 27.338617375427010 
21 2.5000000000000000 1.1180339887498949 97.299999999999997 34.345450936041011 
22 3.5000000000000000 1.5652475842498526 129.19999999999999 43.622929750304515 
23 4.0999999999999996 1.6401219466856729 165.00000000000000 54.867112189361684 
24 5.5999999999999996 2.2891046284519208 209.69999999999999 68.623683958237095 
25 7.4000000000000004 3.0397368307141317 270.89999999999998 89.887095848069407 
26 9.3000000000000007 4.0012498047485101 349.19999999999999 118.29775991116659 
27 11.400000000000000 5.1029403288692290 456.80000000000001 148.61009386983105 
28 14.600000000000000 5.8514955353311180 584.10000000000002 188.72066659483798 
29 19.100000000000001 7.1477269114033675 760.60000000000002 247.73542338551420 
30 24.300000000000001 9.1219515455849702 980.50000000000000 321.85532464136753 
31 31.800000000000001 12.155657119218196 1267.4000000000001 411.61443123389114 
32 41.100000000000001 15.616977940690058 1643.8000000000000 535.26251503351136 
33 54.000000000000000 20.726794252850581 2125.5999999999999 691.14733595666894 
34 69.099999999999994 26.036320784627009 2738.0999999999999 894.46212328974570 
35 88.900000000000006 31.443441287492671 3521.9000000000001 1139.1961595792002 
36 117.30000000000000 40.152334925879479 4519.6000000000004 1469.0943604819925 
37 150.00000000000000 50.309044912421065 5836.6000000000004 1884.4327634596029 
38 192.30000000000001 63.666396159983769 7521.3999999999996 2428.1467089119647 
39 248.00000000000000 81.865743751583906 9681.7000000000007 3104.9582621993468 
40 318.69999999999999 105.42869628331751 12432.299999999999 4000.4739231746048 
41 417.19999999999999 138.15628831146270 15948.100000000000 5072.0777685283956 
42 535.10000000000002 173.18686439796755 20403.200000000001 6449.0106962231021 
43 689.10000000000002 224.61231043733989 26107.900000000001 8150.2703568654624 
44 887.89999999999998 292.80589133417385 33347.099999999999 10306.755119338004 
45 1147.0000000000000 371.00889477207966 42400.800000000003 12936.751584536194 
46 1489.8000000000000 490.92520815293244 53692.400000000001 16037.632245440720 
47 1923.5000000000000 619.26444270602212 67693.500000000000 19765.484305981485 
48 2493.5999999999999 812.23336548063571 84725.899999999994 24042.039183272289 
49 3209.0999999999999 1043.2710529867115 105244.80000000000 28846.042781636443 
50 4119.6000000000004 1340.4070426553253 129663.60000000001 33889.655947501145 
51 5314.0000000000000 1707.5690322795151 157982.79999999999 39075.618523063749 
52 6858.8000000000002 2207.8032883388846 189986.39999999999 43912.518739421008 
53 8807.2000000000007 2836.6965576176781 225256.79999999999 47950.312307220694 
54 11331.100000000000 3653.6394033894458 262890.90000000002 50601.180593835852 
55 14542.000000000000 4650.0598275721150 301483.70000000001 51731.010052095393 
56 18634.200000000001 5916.1716134676099 339677.50000000000 50924.150978195074 
57 23846.500000000000 7482.0259455577943 375823.09999999998 48470.400168453540 
58 30471.500000000000 9514.3795094583038 408612.40000000002 44463.566874914461 
59 38869.400000000001 11960.437092347413 437027.29999999999 39402.763918411030 
60 49316.199999999997 14905.942082270432 460545.59999999998 33722.567251619628 
61 62342.300000000003 18459.904626243318 478612.20000000001 27862.035395139672 
62 78370.899999999994 22597.371141130570 491321.59999999998 22171.959368536212 
63 97781.399999999994 27366.964520019403 498806.50000000000 17242.833828869669 
64 121063.80000000000 32598.255986478765 500707.29999999999 14222.352471023494 
65 148514.89999999999 38005.558544639243 497131.00000000000 14584.644438586562 
66 179878.29999999999 43382.478610724902 488978.29999999999 18202.892550636614 
